(Do Not Modify) Consumer Advisory,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Consumer Advisory ID,Title,Consumer Advisory Category,Supply,Start Date and Time,End Date and Time,Status,Redacted
2326f8c2-08f1-ec11-bb3d-002248934c07,012mz391uZWN4uZoodaNJJy6uEg5YvMKkWs+7gpjOBEaTni25BZen33ZL9ErnNgKPGC/LictC7d40nfW3eQceQ==,4/8/23 04:35,CA-00001098,Boil water advisory for Maheno,Boil Water,Maheno,6/12/21 09:00,9/12/21 11:02,Inactive,FALSE
b3203224-23d4-ee11-904d-000d3acb5a90,1+Aa7/XLkduaW7zS+TC5nFFRdDpR+PHtf55HXOxOyW67VkUe13HRZKAPuNrTvRp5DigoIsifm1KG6atsPVDDqg==,12/4/24 02:16,CA-00001540,Boil Water Advisory | Matahu Shool,Boil Water,Makahu School,14/02/2024 8:00,29/02/2024 8:00,Inactive,FALSE
db8a08be-5814-ed11-b83d-00224811d0ee,KWLM01bDSxmECWh7vKHCOQxWKVGEEXciPQ6pHiss9clOOLHSW0yxsC1hLmMFtZS9qb3eABSHuR2go/4lMs3oAw==,5/12/22 02:21,CA-00001190,Do Not Drink notice for Mangakahia Area School - UV system failure,Do Not Drink,Mangakahia Area School,5/8/22 14:00,9/8/22 11:30,Inactive,FALSE
9e27e905-7da8-ee11-be37-000d3acb5a90,j0VukcABCI4xzmcH9evi2J8ZqXxtEOVw6lMcRN0sw3Ly1V7lx/DH73Ix58Nkjj/WLuP2jF0n+o6yhCWIdoXTmw==,2/1/24 23:39,CA-00001511,Boil Water Notice | Matarangi,Boil Water,Matarangi,1/1/24 21:00,2/1/24 21:00,Inactive,FALSE
c14f74c7-e984-ee11-8179-000d3acb5a90,Ic4Hkit94kGgl+4mtSitrMVXerd85QCX22vbta8sEHgXTmVc+snQxYFCAWGffO2F7I1UPtk0e5DYhDEnsTEyAg==,5/12/23 19:18,CA-00001485,Do Not Drink | Matauri Bay School,Do Not Drink,Matauri Bay School,10/10/23 08:00,5/12/23 08:00,Inactive,FALSE
7fc23c2c-6595-ee11-be37-002248933ae4,pNT/U8xuvSQ/XlfAjWoTDD5V1rjZchTIjX434BpEUmuf/au68CL9ZnlysKxEHC5+MdyG8thpiLgtctpqmcH/3Q==,21/12/2023 20:55,CA-00001495,Boil Water | <Redacted>and <Redacted>,Boil Water,<Redacted>,7/12/23 13:00,21/12/2023 8:00,Inactive,TRUE
872a64f7-e8a8-ed11-aad1-000d3acb5a90,vcbNcn3ZNs6WOLtu1yFlYC4CRTsz24Dlm7JGV5ipWWAWufeHCMnDvWIYoBbI3VJcLRQEyt5iItPXvXiW+KDg+g==,18/10/2023 21:24,CA-00001304,Boil Water Advisory <Redacted>- January 2023,Boil Water,<Redacted>,18/01/2023 8:00,26/03/2023 8:00,Inactive,TRUE
38d57c18-b016-ed11-b83e-00224811ddc5,wxJve8TbZvCGhBvqY8UeOwu/0K4rbULYH4PbO38dCoElARVX9mNJDfnkKFAvDEz5qM0luEbPm2NZiYN1rTBqjg==,8/12/22 03:01,CA-00001193,Boil Water advisory Methven (Ashburton DC),Boil Water,Methven,6/8/22 17:00,11/8/22 17:00,Inactive,FALSE
db722569-badc-ed11-a7c7-002248930713,ogIzw28Cct8wUNGCUxD6OlG9tGqkJ6NxTJYYJ+6/5NTpPncN7YvXjHbCLcNk1aaeKxi5dTzE+UzVw3MmZwHMVQ==,21/04/2023 0:37,CA-00001345,Boil Water Advisory | Methven/Springfield (Ashburton DC),Boil Water,Methven/Springfield,15/04/2023 10:00,20/04/2023 5:00,Inactive,FALSE
da69ed8f-aa07-ed11-82e5-002248934c07,jD79ZjqxRCkSH2KUf0erwUy2f/G60xf/JLCphrgoV15yhhF9dWr0vs6olVdJefXIcXujWqW9dvi3Se5213iL7A==,8/12/22 02:56,CA-00001167,Boil water advisory Methven/Springfield (Ashburton DC),Boil Water,Methven/Springfield,20/07/2022 8:30,7/9/22 15:50,Inactive,FALSE
b1c99cb6-6922-ed11-9db1-00224811d0ee,MBrXDLOYMH5hq0NZbTj8IQ7EZC9MinWtVbmyDUxFbSzRo6pH9vAtH4/nrksB2+m8nXYXcla/3z8cENxhtoki2g==,28/09/2023 4:06,CA-00001208,Boil water advisory for Milton,Boil Water,Milton,27/01/2022 13:29,28/01/2022 9:00,Inactive,FALSE
d99a5640-19f9-ed11-8f6e-002248930713,PQliDFSf7NJgWhMUDlTG0V5iWxo14iZFN/oyJ1K2F84stcDdJd3MSQm+Mh16syeXAH3QjgocBgPYcT24TjqM1w==,23/05/2023 3:24,CA-00001361,Precautionary Boil Water Advisory | Moa Flat,Boil Water,Moa Flat,27/09/2022 14:07,3/10/22 15:33,Inactive,FALSE
38e84926-631f-ed11-b83d-00224811d0ee,pExB0I0+VXY9s6O+h78o18suF3rY6VGyZNMigQB7SooHjA0mpf4oUOfZvBupKSCCq9FO8p33Rgz46oIrwlZbuA==,8/12/22 03:10,CA-00001204,Boil water advisory Moenui (Marlborough DC),Boil Water,Moenui,20/08/2022 1:30,22/08/2022 20:00,Inactive,FALSE
449daa58-9c17-ed11-b83e-00224811ddc5,/1FOIpDeeSvQpsByGVNeW8XelyD9DBBW7dRP2VSj1hHt3Ur3a6Ig0AHZ3i07Xc0z4wBlbz0V9ISjuT+cpqK51w==,8/12/22 03:02,CA-00001195,Boil Water Notice Moenui (Marlborough DC),Boil Water,Moenui,9/8/22 17:00,30/09/2022 21:00,Inactive,FALSE
ae239ba6-6562-ee11-8df0-002248930713,8DxH47QuWBSuJaS2i9+dqPV9aBLVAxNnpx3dx7oPe958zpvX3xY+jB1BLZXnee0m91qBPEkFbTl085YCTkVlJg==,9/10/23 22:00,CA-00001420,Boil Water for section of Mokai - 275 Tirohanga Rd,Boil Water,Mokai Trust,2/10/23 08:00,10/10/23 08:00,Inactive,FALSE
675dd97a-97e4-ee11-904c-000d3ad07db0,CbeUd9nB+39TSfRt+KRTbHv8CAZdDBZqdoH+IC4xloGnv2Lb9bG0mQXGWfF5mldhp06EwyLJ6h1Doj4S26YKVQ==,2/4/24 23:38,CA-00001552,Do Not Use advisory | Mokoia Primary School,Do Not Use,Mokoia Primary School,7/3/24 08:00,3/4/24 08:00,Inactive,FALSE
a491b244-576f-ed11-81ab-002248930713,jPru5kpj9JT33xqXocAQO9T2umtnWk/eYALXpdrCFq1ydaKOH31vRs1Dgbjlw3tG4DRSbgQ9brMcCjKG2HuSGw==,24/07/2023 23:39,CA-00001269,Boil water advisory | Morrinsville Boil Water Notice | Unplanned supply,Boil Water,Morrinsville,28/11/2022 21:30,2/12/22 08:00,Inactive,FALSE
8f7b7688-1829-ee11-9965-000d3acb5a90,M1JCi59cqvOC9w/Jxw4JXTAE43nizCOEjZyYmC/SxwxH94kS/NVR1jJsPKyOxkBx5IR5foNEf2dCaPFtwicEmg==,30/07/2023 23:16,CA-00001390,Boil Water | Mt Somers | Heavy Rain 23/7/2023,Boil Water,Mt Somers,23/07/2023 16:40,29/07/2023 4:30,Inactive,FALSE
